English,French,German,Spanish,Italian,Danish,Greek,Portuguese,Norwegian,Swedish,Polish,Romanian,Finnish,Dutch,Latvian,,,,,,,,,,,,,,
Antibiotic,Antibiotique,Antibiotikum,Antibiótico,Antibiotico,Antibiotikum,???????????,Antibiótico,Antibiotikum,Antibiotika,Antybiotyk,Antibiotic,Antibiootti,Antibioticum,Antibiotikas,,,,,,,,,,,,,,
Antibiotic Class,Classe de l'antibiotique,Antibiotikaklasse,Clase de antibiótico,Classe antibiotico,Antibiotikaklasse,????????? ????????????,Classe de antibióticos,Antibiotikaklasse,Antibiotikaklass,Klasa antybiotyków,Clasa de antibiotice,Antibioottien luokka,Antibioticaklasse,Antibiotiku klase,,,,,,,,,,,,,,
Antibiotic Group,Groupe de l'antibiotique,Antibiotikagruppe,Grupo de antibióticos,Gruppo antibiotico,Antibiotikagruppe,????? ????????????,Grupo de antibióticos,Antibiotikagruppe,Antibiotikagrupp,Grupa antybiotyków,Grup de antibiotice,Antibioottien ryhmä,Antibioticagroep,Antibiotiku grupa,,,,,,,,,,,,,,
Antibiotic Subclass,Sous-classe de l'antibiotique,Antibiotika-Untergruppe,Subclase de antibiótico,Sottoclasse antibiotico,Antibiotikaunderklasse,???????????? ????????????,Subclasse de antibióticos,Antibiotikaundergruppe,Undergrupp till antibiotika,Podklasa antybiotyków,Subclas? de antibiotice,Antibioottien alaryhmä,Antibiotica subklasse,Antibiotiku apakšklase,,,,,,,,,,,,,,
Microbe Group,Groupe de micro-organisme,Mikrobengruppe,Grupo de microbios,Gruppo del microbo,Mikrobegruppe,????? ?????????,Grupo de micróbios,Mikrobegruppe,Mikrobgrupp,Grupa drobnoustrojów,Grup de microb,Mikrobiryhmä,Microbegroep,Mikrobu grupa,,,,,,,,,,,,,,
Microbe Species,Espèce du micro-organisme,Mikrobenart,Especie de microbios,Specie microbiche,Bakterieart,???? ?????????,Espécie de micróbios,Mikrobearter,Mikrobart,Gatunek drobnoustrojów,Specii de microb,Mikrobilaji,Microbesoort,Mikrobu suga,,,,,,,,,,,,,,
Microbe Type,Type de micro-organisme,Mikrobentyp,Tipo de microbio,Tipo di microbo,Mikrobetype,????? ?????????,Tipo de micróbios,Mikrobetype,Mikrobtyp,Rodzaj drobnoustrojów,Tip de microb,Mikrobityyppi,Type microbe,Mikrobu tips,,,,,,,,,,,,,,
NEG,NEG,NEG,NEG,NEG,NEG,???,NEG,NEG,NEG,UJ,NEG,NEG,NEG,NEG.,,,,,,,,,,,,,,
POS,POS,POS,POS,POS,POS,???,POS,POS,POS,DOD,POS,POS,POS,POZ.,,,,,,,,,,,,,,
"Check cefazolin, ceftazidime and ceftriaxone. Enterobacteriaceae intermediate or resistant to ceftazidime and/or ceftriaxone are resistant to cefazolin.","Vérifier la céfazoline, la ceftazidime et la ceftriaxone. Les entérobactéries de sensibilité intermédiaire ou résistantes à la ceftazidime et/ou à la ceftriaxone sont résistantes à la céfazoline.","Cefazolin, Ceftazidim und Ceftriaxon prüfen. Enterobacteriaceae mit mäßiger Empfindlichkeit oder Resistenz gegen Ceftazidim und/oder Ceftriaxon sind resistent gegen Cefazolin.","Comprobar cefazolina, ceftazidima y ceftriaxona. Las enterobacterias con sensibilidad intermedia o resistentes a la ceftazidima y/o ceftriaxona son resistentes a la cefazolina.","Controllare cefazolina, ceftazidime e ceftriaxone. Gli enterobatteri intermedi o resistenti al ceftazidime e/o al ceftriaxone sono resistenti alla cefazolina.","Kontrollér cefazolin, ceftazidim og ceftriaxon. Enterobakterier, der er intermediære eller resistente over for ceftazidim og/eller ceftriaxon, er resistente over for cefazolin.","??????? ???????????, ???????????? ??? ????????????. ?????????????????? ??????? ????????? ? ????????? ???? ??????????? ???/? ??? ??????????? ????? ????????? ???? ??????????.","Verificar cefazolina, ceftazidima e ceftriaxona. As enterobactérias com sensibilidade intermédia ou resistentes à ceftazidima e/ou à ceftriaxona são resistentes à cefazolina.","Kontroller cefazolin, ceftazidim og ceftriakson. Enterobacteriaceae som er intermediære eller resistente overfor ceftazidim og/eller ceftriakson, er resistente overfor cefazolin.","Kontrollera cefazolin, ceftazidim och ceftriaxon. Enterobacteriaceae som är intermediära eller resistenta mot ceftazidim och/eller ceftriaxon är resistenta mot cefazolin.","Sprawd? cefazolin?, ceftazydym i ceftriakson. Enterobacteriaceae po?rednie lub oporne na ceftazydym i/lub ceftriakson s? oporne na cefazolin?.","Verifica?i cefazolina, ceftazidima ?i ceftriaxona. Enterobacteriaceae intermediare sau rezistente la ceftazidim? ?i/sau ceftriaxon? sunt rezistente la cefazolin?.","Tarkista kefatsoliini, keftatsidiimi ja keftriaksoni. Enterobakteerit, jotka ovat välimuotoisesti herkkiä tai resistenttejä keftatsidiimille ja/tai keftriaksonille, ovat resistenttejä kefatsoliinille.","Controleer cefazoline, ceftazidim en ceftriaxon. Enterobacteriaceae intermediair of resistent tegen ceftazidim en/of ceftriaxon en/of zijn resistent tegen cefazoline.","P?rbaudiet cefazol?nu, ceftazid?mu un ceftriaksonu. Starpposma vai pret ceftazid?mu un/vai ceftriaksonu rezistentas enterobakt?rijas ir rezistentas pret cefazol?nu.",,,,,,,,,,,,,,
Enterobacteriacea resistant to ampicillin-sulbactam are resistant to ampicillin alone.,Les entérobactéries résistantes à l'association ampicilline-sulbactam sont résistantes à l'ampicilline seule.,Enterobacteriaceae mit Resistenz gegen Ampicillin/Sulbactam sind gegen Ampicillin allein resistent.,Las enterobacterias resistentes a la combinación de ampicilina y sulbactam son resistentes a la ampicilina sola.,Gli enterobatteri resistenti all'ampicillina sulbactam sono resistenti anche all'ampicillina da sola.,"Enterobakterier, der er resistente over for ampicillin-sulbactam, er kun resistente over for ampicillin.",?????????????????? ????????? ???? ???????????-???????????? ????? ????????? ?????????? ???? ???????????.,As enterobactérias resistentes à combinação de ampicilina e sulbactam são resistentes à ampicilina em monoterapia.,"Enterobacteriaceae som er resistente overfor ampicillin-sulbaktam, er kun resistente overfor ampicillin.",Enterobacteriaceae som är resistenta mot ampicillin-sulbaktam är även resistenta mot enbart ampicillin.,Enterobacteriaceae oporne na ampicylin?-sulbaktam s? oporne na sam? ampicylin?.,Enterobacteriaceae rezistente la ampicilin?-sulbactam sunt rezistente la ampicilin? singur?.,Ampisilliini-sulbaktaamille resistentit enterobakteerit ovat resistenttejä myös pelkästään ampisilliinille.,Enterobacteriaceae die resistent zijn tegen ampicilline-sulbactam zijn resistent tegen alleen ampicilline.,"Enterobakt?rijas, kas ir rezistentas pret ampicil?nu/sulbakt?mu, ir rezistentas ar? tikai pret ampicil?nu.",,,,,,,,,,,,,,
